"NC"	"Cyproconazole"	"Fluxapyroxad"	"Azoxystrobin"	"Chlorotoluron"	"Thiabendazole"	"X2.Phenylphenol"
21.978449	21.935987	21.710508	21.792166	22.0278	21.982569	22.00597
24.697876	25.393902	24.927164	25.102417	25.561178	24.987621	25.522478
21.33573	21.462458	21.272537	21.532566	21.651537	21.421871	21.424286
30.477978	30.85754	29.285591	30.337431	33.452732	32.380833	31.749239
20.349018	20.929523	20.991276	20.613678	21.007235	20.605095	20.944805
18.288382	18.809397	20.69036	20.585533	23.196705	18.73873	20.998587
24.140152	24.521257	24.008574	24.147272	23.972244	24.246319	23.971615
22.761454	22.447989	21.733248	22.23398	21.76533	22.557438	21.982573
32.436203	31.460331	30.748753	31.342495	32.420135	33.403316	32.583675
20.517796	21.835484	22.354946	21.50501	21.64779	20.526787	21.951464
25.165619	25.914236	25.856318	25.47419	26.303598	25.385803	25.795702
21.21779	21.523739	21.26687	21.150705	21.698696	21.414864	21.639301
28.419353	29.421183	29.961496	30.368546	32.763275	29.291283	30.10736
21.374304	22.215477	22.580238	22.679514	24.541138	21.799717	22.928638
23.80673	24.86629	24.771074	24.417103	26.125278	23.83059	24.74803
22.245283	24.336885	24.272066	23.455492	25.793936	23.437721	24.83854
33.53264	34.67905	32.433556	32.688927	35.964394	34.821552	34.49109
24.832596	25.569073	25.479492	25.24277	25.273619	25.229086	25.371506
24.646732	25.2366	24.518415	24.957565	24.457918	25.291494	24.794245
25.60103	25.241076	24.729677	25.168077	24.23114	25.417593	24.882137
24.853767	25.419064	25.564535	25.240057	25.595013	25.02031	25.50151
22.780226	25.198427	25.200695	23.673567	26.177433	23.49286	25.106588
23.206154	24.596754	24.862112	24.14064	25.535957	23.574268	24.609146
20.150465	20.49697	20.09908	19.746256	20.37661	20.452166	19.88805
22.746914	22.364426	22.33074	22.258257	23.330744	22.89442	22.72928
20.919321	21.557606	21.767397	21.318193	21.21838	21.150377	21.528149
18.936966	19.414078	19.179197	19.198778	19.29685	19.222637	19.17724
37.900948	37.18862	36.17587	37.717964	39.737053	38.03861	37.26089
NA	39.224888	36.43925	36.574856	39.971382	39.135754	NA
32.83628	33.237255	33.952133	33.93633	36.21124	32.769264	37.58704
24.800396	25.46425	25.27495	25.230015	24.86498	24.73433	24.921015
23.295927	23.485752	23.161242	24.80292	25.144173	23.323452	24.183926
23.383509	24.163147	23.730106	23.679358	24.283731	23.57371	23.874567
24.882364	26.124817	25.597712	25.411688	26.486393	25.215853	26.272255
21.283693	21.565485	21.284914	21.307535	21.25095	21.234701	21.192575
20.836462	21.439375	21.117836	21.216196	21.180353	20.996181	21.142216
22.63508	22.789516	22.670933	22.73047	22.817907	22.488071	22.707819
38.490852	36.74633	35.916695	39.52574	39.995617	39.21653	37.95388
27.40513	29.239569	28.169714	28.420645	29.155191	27.352777	27.618801
23.571722	24.465109	24.678324	24.338335	26.536505	24.58468	24.861408
19.33211	20.57727	20.730484	20.268932	21.341902	20.025864	20.803951
22.831247	24.653793	24.7123	24.441828	26.376703	24.351854	25.333736
23.846949	24.436066	24.352903	24.12786	23.554207	23.685755	23.913889
24.910929	24.998455	24.37334	24.41568	25.111559	24.953068	24.893744
20.14432	19.982025	19.60188	19.393755	19.37966	19.820095	19.689947
19.792114	19.825842	19.698149	19.581154	19.239952	19.579945	19.491962
18.755274	19.108805	18.679853	18.640558	19.229942	19.176605	18.933891
22.271015	22.971148	22.493034	22.376823	22.702322	22.592388	22.525885
22.653172	23.281986	22.960855	22.808071	22.620039	22.546494	22.76952
29.182306	28.691982	27.837976	28.399635	29.255081	30.370678	29.027994
27.445337	27.794525	27.619267	28.847624	28.34974	27.804733	27.78077
22.445784	22.362362	21.895836	21.796326	22.407461	22.494196	22.3868
25.440641	25.637226	25.932383	25.697113	25.74535	25.457884	25.79725
18.966825	18.90808	18.514078	18.693043	18.607895	18.860847	18.828236
20.490017	20.207577	20.240276	19.744228	19.5016	20.241026	19.94635
22.801653	23.138067	22.482336	22.6809	22.687859	22.934092	22.503428
33.48105	32.78518	31.828691	33.692482	33.696236	33.54282	33.877617
29.990124	30.610195	30.222662	30.35692	29.739332	29.891666	30.32316
22.812412	23.223576	23.164118	22.871363	22.87978	22.783808	22.759861
26.63765	26.592312	26.368486	26.26431	26.300194	26.743711	26.570187
19.88041	19.84046	19.604465	19.602524	19.662415	19.91911	19.573654
19.851513	19.754026	19.449532	19.255144	19.607962	19.743113	19.634937
23.169434	22.823736	22.466623	22.54134	22.313482	22.873064	22.669441
23.756302	24.199335	23.659643	23.308468	23.524044	23.962662	23.698837
32.21468	32.67995	31.883371	31.707212	31.439602	31.72296	32.817654
22.7536	23.152788	23.296448	23.099293	23.13564	22.99734	23.220488
20.890781	20.975437	21.129221	21.090258	21.157866	21.00716	21.443222
21.324965	22.266544	21.685135	21.72097	24.079714	21.837132	21.640154
21.91439	21.985794	21.795868	21.745195	21.852325	21.866972	21.82018
22.52456	22.73961	22.546618	22.326107	22.88205	22.540499	22.440104
23.107193	23.631527	23.492401	23.168575	23.318287	23.241749	23.265646
34.01374	NA	34.580402	35.23129	35.091396	34.88172	NA
37.6207	35.722836	34.84794	36.183426	37.96088	39.008247	35.614708
37.160763	34.916073	33.908833	34.52468	38.441963	38.90451	37.827637
31.53986	31.476244	30.744371	31.70662	32.13171	32.63431	32.794735
31.324339	30.816765	29.419725	29.692759	30.626345	30.581573	31.344883
30.921516	29.825165	30.853458	30.82523	28.549055	30.135202	30.239445
39.711372	38.189228	35.64642	39.060596	38.3676	NA	39.57241
33.402237	33.212536	34.41031	34.434402	32.12615	33.711483	37.8498
33.9459	31.87352	32.15653	32.476967	31.678173	32.95962	35.28954
28.950634	28.515278	28.851788	28.615341	26.947147	28.416945	29.499304
23.980757	25.95823	27.019941	26.137964	26.568268	24.69939	25.703331
31.58696	31.674843	30.116203	29.786358	27.937822	32.41489	30.265575
25.366688	25.243185	24.895311	25.635807	24.56394	25.192724	24.956758
35.78321	34.952972	34.11865	35.533566	35.409557	36.42355	33.79693
39.07245	38.88332	37.65289	38.287315	NA	NA	NA
21.199753	22.569374	22.69831	21.755665	23.578642	21.554602	22.594744
24.952286	24.921473	24.634937	24.780716	NA	25.410278	25.337833
24.643171	25.153952	24.778088	24.783037	25.01502	24.715378	25.305763
21.82599	22.383167	21.804869	21.857025	21.782679	22.338923	21.655008
23.633764	23.97093	23.876804	23.765234	23.33231	23.612057	23.623795
22.996998	23.177292	23.890772	23.796423	23.726925	22.941793	23.871162
29.19324	29.554623	29.981762	28.781704	31.143436	30.263893	29.609121
31.29968	31.850101	32.468994	33.338367	31.720047	31.259918	33.58355
32.86275	32.135963	30.811064	32.25624	32.68845	33.432556	31.718348
24.309595	24.361378	24.229496	24.313892	24.283768	24.227835	24.389662
20.439173	21.154287	21.405823	21.311014	21.980728	20.82963	21.368496
21.546827	22.17356	22.344715	22.094307	22.546099	21.720854	22.274744
24.356625	24.349737	24.214914	24.369785	24.36157	24.201473	24.617064
22.849411	23.218018	22.968771	22.874634	22.83946	22.76259	22.845377
23.38007	23.783955	23.420912	23.401579	23.645664	23.365936	23.527237
20.84962	21.005299	20.773369	21.027483	21.298267	21.122799	21.222898
20.428955	20.697899	20.207172	20.049215	20.71901	20.577328	20.458776
28.580069	29.367836	28.656101	28.692223	29.733858	28.458797	29.507845
20.281414	20.414581	20.219913	19.747103	20.23487	19.981054	20.130941
20.13108	19.993038	19.625498	19.800287	19.587822	19.865627	19.629658
23.070162	23.107533	22.766792	22.886847	22.671661	22.822588	22.904745
24.096924	24.833752	24.60469	24.579166	24.503347	24.308704	24.595282
24.325256	23.571468	22.605047	22.31023	22.577503	23.225174	22.542974
23.272587	23.461117	22.978731	22.77592	22.87613	22.919117	22.99767
22.651005	23.363722	22.94313	22.889385	22.973827	22.654453	22.935123
32.261005	32.481327	30.801275	32.272915	34.353687	34.57512	34.516968
23.587662	24.247921	23.568558	23.310465	23.784693	23.847212	23.661947
25.421476	25.296967	24.464546	23.959227	24.886656	25.520435	24.781115
21.566816	22.488178	23.302132	22.155064	23.781988	21.95162	23.147087
24.771858	25.624084	25.367798	25.3008	25.231487	24.8837	25.14199
24.354198	24.823402	24.574364	24.279799	23.993595	24.26242	24.260166
26.27314	26.214817	26.024677	25.969017	25.87798	25.966326	25.924942
26.24446	28.21301	28.136024	27.514069	28.370264	27.24956	27.635715
23.747856	23.83504	24.029057	23.833353	24.631393	23.606215	24.20143
25.547268	26.445042	26.023531	25.968971	26.418646	25.375257	26.008488
22.381943	23.487812	23.334507	22.735022	22.757046	22.332247	22.68565
26.134619	25.823513	24.875723	24.674004	24.785984	25.72173	24.780586
25.315882	25.649054	25.256607	24.964247	26.263792	25.588999	25.855297
24.422543	24.341904	23.71919	23.61085	23.504227	24.243454	23.628654
26.709936	27.799114	26.96616	26.628977	26.991837	26.58136	26.557978
22.517303	22.752436	22.739216	22.280457	22.461088	22.556213	22.555136
23.96145	24.58045	24.007214	23.762331	23.79877	23.811792	23.972527
31.647232	35.639885	34.379963	32.743134	35.878796	33.55246	38.362976
21.671978	22.51117	22.398071	22.176336	22.35062	21.877419	22.246437
25.829407	27.245064	27.341942	27.026264	27.955837	26.600342	28.027838
29.25017	28.26132	29.393131	29.3926	28.134974	29.832687	28.594305
23.653246	24.19562	23.700298	23.659739	23.927834	23.677103	23.649708
24.934307	24.697247	23.937428	23.809652	24.005215	24.566217	24.226738
22.612484	23.3497	23.177565	22.90929	23.2124	22.613049	23.12036
22.323786	22.290186	21.3118	21.215326	21.341927	22.577747	21.325104
33.21691	35.141926	32.51149	34.07661	36.82661	38.29702	33.47421
21.614433	21.591852	21.307066	21.237967	21.33819	21.568983	21.511566
23.515285	24.93139	24.880217	24.733475	25.457596	24.208073	25.2608
21.61337	22.398804	22.597921	22.989336	24.44738	22.138363	23.19855
21.432453	21.965437	21.919853	21.654428	21.375296	21.252752	21.743948
26.810703	28.015215	27.865993	28.123138	27.724327	27.36956	27.691776
23.120886	23.708359	23.71683	23.51406	23.721693	22.921434	23.836073
22.73232	22.948988	22.768782	23.469677	22.750183	22.735117	23.234234
22.715332	22.812315	22.400734	22.394798	22.640823	22.749273	22.530256
21.303585	21.744225	21.47362	21.248667	21.527205	21.347656	21.380514
19.72428	20.279228	19.995998	19.861021	20.27694	19.920872	20.301197
25.986076	26.26728	25.183651	25.150352	26.14295	26.28924	26.338863
29.5641	29.719639	29.3427	29.23479	28.457096	29.452002	29.025362
34.219944	33.77876	33.590103	34.947117	NA	38.56443	36.792263
22.82476	23.721802	23.976324	23.267147	22.773924	22.943264	23.190065
33.326878	31.981318	32.145084	33.151375	34.458916	34.89933	33.787502
27.739538	26.850948	26.314283	26.032442	25.90239	27.198185	25.864388
22.003706	22.243366	21.901325	22.132849	21.96871	21.88656	22.153477
35.837452	34.837368	34.519577	34.147682	35.32584	36.364426	36.979725
35.841263	37.181824	35.686012	35.553295	NA	36.688076	37.47334
24.10021	24.62424	24.890635	24.968887	24.628088	23.217861	25.32161
19.389717	19.224716	19.993055	20.38538	19.90088	19.28056	20.27473
