Refseq;Cyproconazole_Fold_Regulation;Cyproconazole_pvalue;Fluxapyroxad_Fold_Regulation;Fluxapyroxad_pvalue;Azoxystrobin_Fold_Regulation;Azoxystrobin_pvalue;Chlorotoluron_Fold_Regulation;Chlorotoluron_pvalue;Thiabendazole_Fold_Regulation;Thiabendazole_pvalue;Phenylphenol_Fold_Regulation;Phenylphenol_pvalue
NM_000214;-1.12;0.756558;-1.12;0.589692;-1.57;0.030689;1.19;0.413389;-1.19;0.576878;-1.09;0.528316
NM_020655;1.32;0.491555;-1.17;0.481283;-1.56;0.207306;-1.87;0.117512;-1.24;0.490963;1.05;0.937387
NM_014592;-1.17;0.442742;-1.2;0.534174;-1.38;0.267363;-1.63;0.140454;-1.19;0.534874;-1.29;0.389605
NM_000221;-2.01;0.086633;-1.9;0.200843;-1.55;0.246133;-5;0.013445;-1.23;0.434911;-1.51;0.496535
NM_006563;1.36;0.19951;1.07;0.738348;1.05;0.808879;-11.37;0.236283;-1.25;0.217869;-1.31;0.137871
NM_002312;-1.09;0.36512;-1.11;0.431462;-1.15;0.093669;-1.44;0.006922;-1;0.976321;-1.19;0.424761
NM_005572;1.1;0.817775;1.1;0.814802;1.15;0.675896;1.03;0.955833;-1.18;0.471295;1.05;0.919886
NM_000237;-1.23;0.163079;-1.22;0.226963;-1.43;0.064333;-1.07;0.56029;-1.13;0.260852;-1.15;0.274859
NM_002340;1.54;0.170394;-1.49;0.189638;-1.48;0.152632;-1.94;0.002442;1.05;0.654405;-1.18;0.599332
NM_003695;-2.01;0.127964;-1.81;0.148046;-1.52;0.207105;-4.2;0.038183;-3.2;0.07001;-1.64;0.221985
NM_000239;-1.77;0.429131;-1.28;0.485582;-2.4;0.218011;-1.79;0.296498;-1.44;0.417453;-3.46;0.155215
NM_002361;1.3;0.508645;1.49;0.315725;-1.02;0.825847;-1.5;0.714931;-1.45;0.391651;1.61;0.292713
NM_005908;1.06;0.634394;1.04;0.615732;-1.19;0.027538;-1.32;0.108252;1.05;0.401301;-1.05;0.485234
NM_000240;-1.57;0.031658;-1.56;0.025107;-1.72;0.008173;-3.07;0.000257;-1.4;0.007938;-1.45;0.087246
NM_000898;-1.48;0.055986;-1.52;0.12339;-1.63;0.065283;-2.21;0.008096;-1.19;0.24083;-1.31;0.403246
NM_002750;1.15;0.187041;-1.04;0.808012;-1.14;0.118745;-1.2;0.018511;1.11;0.176346;-1.18;0.175237
NM_003791;-1.22;0.116803;-1.18;0.058309;-1.28;0.065103;-1.27;0.012101;1.01;0.93711;-1.13;0.182148
